 Instance ID | Vehicles | Vehi_Opt |  Gap  | Iter. | Distance => Dist_Opt
--------------------------------------------------------------------------
   c1_2_1    |    40    |    35    |  7.2  |  108  | 14223.87 => 12647.58
   c1_2_2    |    39    |    38    |  6.4  |  453  | 14500.75 => 10277.16
   c1_2_3    |    38    |    35    |  6.0  |  639  | 14534.75 => 9808.42
   c1_2_4    |    34    |    27    |  2.3  |  2741  | 15031.9 => 5808.42
   c1_2_5    |    38    |    35    |  6.1  |  175  | 13672.36 => 10983.25
   c1_2_6    |    35    |    34    |  5.7  |  248  | 12566.32 => 10597.3
   c1_2_7    |    35    |    34    |  5.2  |  380  | 14495.11 => 9858.02
   c1_2_8    |    35    |    34    |  5.4  |  476  | 14079.12 => 9866.68
   c1_2_9    |    34    |    32    |  4.3  |  1084  | 14175.32 => 8070.66
   c1_2_10   |    34    |    31    |  3.4  |  2071  | 14775.46 => 6822.81
   c2_2_1    |    11    |    11    |  6.8  |  274  | 10260.93 => 8221.77
   c2_2_2    |    14    |    13    |  7.0  |  1643  | 12048.69 => 6891.56
   c2_2_3    |    13    |    13    |  6.6  |  3262  | 12359.55 => 6228.28
   c2_2_4    |    13    |    13    |  14.4  |  1  | 12102.29 => 12102.29
   c2_2_5    |    15    |    14    |  6.6  |  894  | 12077.46 => 6080.0
   c2_2_6    |    12    |    12    |  6.6  |  844  | 12504.8 => 7049.22
   c2_2_7    |    11    |    11    |  5.7  |  737  | 11367.7 => 6784.98
   c2_2_8    |    11    |    10    |  5.1  |  963  | 12025.23 => 6623.26
   c2_2_9    |    12    |    11    |  4.4  |  2005  | 12751.18 => 5342.95
   c2_2_10   |    11    |    11    |  4.4  |  2139  | 12383.86 => 5354.3
   r1_2_1    |    35    |    31    |  2.1  |  205  | 10757.2 => 9429.94
   r1_2_2    |    33    |    29    |  2.2  |  800  | 9823.6 => 7912.76
   r1_2_3    |    33    |    30    |  2.6  |  983  | 9794.78 => 7278.51
   r1_2_4    |    34    |    26    |  1.8  |  3947  | 11643.79 => 5922.62
   r1_2_5    |    32    |    28    |  2.0  |  333  | 9932.27 => 8005.76
   r1_2_6    |    33    |    29    |  2.3  |  920  | 10561.6 => 7437.62
   r1_2_7    |    34    |    28    |  2.5  |  1306  | 11059.97 => 7178.92
   r1_2_8    |    33    |    27    |  1.9  |  3984  | 12271.38 => 5800.65
   r1_2_9    |    38    |    29    |  2.4  |  720  | 11180.43 => 7879.34
   r1_2_10   |    25    |    23    |  1.6  |  916  | 9757.27 => 6683.62
   r2_2_1    |     9    |     9    |  3.0  |  415  | 10361.9 => 7938.51
   r2_2_2    |     8    |     8    |  3.2  |  1190  | 10417.87 => 7573.23
   r2_2_3    |     9    |     9    |  4.5  |  2639  | 11335.4 => 7047.82
   r2_2_4    |    10    |     9    |  5.2  |  5690  | 12604.69 => 5472.26
   r2_2_5    |     8    |     8    |  3.3  |  715  | 11089.83 => 7158.11
   r2_2_6    |     9    |     8    |  3.3  |  2032  | 11325.36 => 6210.56
   r2_2_7    |    10    |     9    |  4.9  |  3716  | 11334.37 => 6423.43
   r2_2_8    |    11    |     8    |  4.3  |  6465  | 11820.83 => 4894.08
   r2_2_9    |     8    |     8    |  3.1  |  1190  | 10459.44 => 6273.27
   r2_2_10   |    10    |    9    |  4.1  |  1929  | 11851.1 => 5973.49
