 Instance ID | Vehicles | Vehi_Opt |  Gap  | Iter. | Distance => Dist_Opt
--------------------------------------------------------------------------
   c1_2_1    |    40    |    36    |  6.8  |  176  | 14223.87 => 11704.51
   c1_2_2    |    39    |    37    |  5.9  |  614  | 14500.75 => 9864.65
   c1_2_3    |    38    |    36    |  6.5  |  732  | 14534.75 => 10106.79
   c1_2_4    |    34    |    28    |  3.0  |  2181  | 15031.9 => 6879.59
   c1_2_5    |    38    |    35    |  6.2  |  229  | 13672.36 => 11185.79
   c1_2_6    |    35    |    34    |  5.3  |  326  | 12566.32 => 9979.02
   c1_2_7    |    35    |    33    |  5.8  |  283  | 14495.11 => 11158.81
   c1_2_8    |    35    |    33    |  5.7  |  369  | 14079.12 => 10772.83
   c1_2_9    |    34    |    33    |  4.2  |  1165  | 14175.32 => 7595.46
   c1_2_10   |    34    |    30    |  4.0  |  1454  | 14775.46 => 7859.21
   c2_2_1    |    11    |    11    |  6.6  |  294  | 10260.93 => 8042.07
   c2_2_2    |    14    |    14    |  8.3  |  1623  | 12048.69 => 7407.07
   c2_2_3    |    13    |    12    |  5.9  |  2605  | 12359.55 => 6087.03
   c2_2_4    |    13    |    10    |  4.8  |  2603  | 12102.29 => 5944.1
   c2_2_5    |    15    |    15    |  8.1  |  940  | 12077.46 => 6874.94
   c2_2_6    |    12    |    12    |  6.6  |  867  | 12504.8 => 7053.26
   c2_2_7    |    11    |    11    |  5.8  |  813  | 11367.7 => 6842.45
   c2_2_8    |    11    |    11    |  5.8  |  1005  | 12025.23 => 6794.21
   c2_2_9    |    12    |    12    |  5.7  |  1983  | 12751.18 => 6110.35
   c2_2_10   |    11    |    11    |  4.9  |  1704  | 12383.86 => 5831.34
   r1_2_1    |    35    |    30    |  1.8  |  290  | 10757.2 => 8788.23
   r1_2_2    |    33    |    29    |  2.0  |  849  | 9823.6 => 7567.27
   r1_2_3    |    33    |    27    |  2.2  |  1380  | 9794.78 => 7227.94
   r1_2_4    |    34    |    28    |  2.0  |  3675  | 11643.79 => 5882.47
   r1_2_5    |    32    |    27    |  1.8  |  378  | 9932.27 => 7804.21
   r1_2_6    |    33    |    29    |  2.6  |  805  | 10561.6 => 7996.18
   r1_2_7    |    34    |    30    |  2.9  |  1333  | 11059.97 => 7366.11
   r1_2_8    |    33    |    26    |  1.9  |  4022  | 12271.38 => 5832.3
   r1_2_9    |    38    |    29    |  2.2  |  808  | 11180.43 => 7496.68
   r1_2_10   |    25    |    24    |  1.6  |  996  | 9757.27 => 6522.93
   r2_2_1    |     9    |     9    |  3.1  |  560  | 10361.9 => 8099.64
   r2_2_2    |     8    |     8    |  3.1  |  1123  | 10417.87 => 7477.1
   r2_2_3    |     9    |     9    |  4.6  |  3119  | 11335.4 => 7105.71
   r2_2_4    |    10    |     9    |  4.9  |  5714  | 12604.69 => 5211.58
   r2_2_5    |     8    |     8    |  3.5  |  773  | 11089.83 => 7553.81
   r2_2_6    |     9    |     8    |  3.6  |  1723  | 11325.36 => 6755.2
   r2_2_7    |    10    |     9    |  4.7  |  4442  | 11334.37 => 6204.16
   r2_2_8    |    11    |     9    |  5.0  |  6772  | 11820.83 => 4919.89
   r2_2_9    |     8    |     8    |  3.4  |  1174  | 10459.44 => 6753.96
   r2_2_10   |    10    |    9    |  4.2  |  2137  | 11851.1 => 6082.83
