Theoretical algorithm runtime = 6.0h 45.0m 0.0s

 Instance ID | Vehicles | Vehi_Opt |  Gap  | Iter. | Distance => Dist_Opt
--------------------------------------------------------------------------
   c1_2_1    |    40    |    30    |  2.2  |  6891  | 14223.87 => 5801.61
   c1_2_2    |    39    |    28    |  1.5  |  13330  | 14500.75 => 4649.48
   c1_2_3    |    38    |    28    |  1.4  |  32485  | 14534.75 => 4152.87
   c1_2_4    |    34    |    24    |  0.9  |  65615  | 15031.9 => 3743.79
   c1_2_5    |    38    |    27    |  1.9  |  4061  | 13672.36 => 5777.68
   c1_2_6    |    35    |    28    |  2.2  |  7535  | 12566.32 => 6182.71
   c1_2_7    |    35    |    26    |  1.4  |  7413  | 14495.11 => 5087.53
   c1_2_8    |    35    |    27    |  1.7  |  10570  | 14079.12 => 5335.1
   c1_2_9    |    34    |    26    |  1.3  |  21303  | 14175.32 => 4308.24
   c1_2_10   |    34    |    24    |  1.2  |  22901  | 14775.46 => 4293.93
   c2_2_1    |    11    |    11    |  2.2  |  11556  | 10260.93 => 3410.76
   c2_2_2    |    14    |    11    |  2.2  |  41636  | 12048.69 => 3261.89
   c2_2_3    |    13    |    13    |  2.9  |  87433  | 12359.55 => 3172.94
   c2_2_4    |    13    |    10    |  1.8  |  132828  | 12102.29 => 2811.93
   c2_2_5    |    15    |    14    |  3.2  |  35199  | 12077.46 => 3402.57
   c2_2_6    |    12    |    11    |  1.9  |  36798  | 12504.8 => 2965.72
   c2_2_7    |    11    |    11    |  2.0  |  36301  | 11367.7 => 2998.94
   c2_2_8    |    11    |    10    |  1.7  |  45551  | 12025.23 => 2999.03
   c2_2_9    |    12    |    11    |  2.3  |  55934  | 12751.18 => 3247.95
   c2_2_10   |    11    |    10    |  1.7  |  61420  | 12383.86 => 2923.42
   r1_2_1    |    35    |    28    |  1.1  |  6037  | 10757.2 => 7268.29
   r1_2_2    |    33    |    25    |  1.0  |  14658  | 9823.6 => 5808.96
   r1_2_3    |    33    |    24    |  0.9  |  27548  | 9794.78 => 4784.79
   r1_2_4    |    34    |    21    |  0.6  |  88322  | 11643.79 => 4085.05
   r1_2_5    |    32    |    22    |  0.8  |  5191  | 9932.27 => 6109.27
   r1_2_6    |    33    |    24    |  1.0  |  15089  | 10561.6 => 5410.27
   r1_2_7    |    34    |    24    |  1.1  |  24349  | 11059.97 => 4934.78
   r1_2_8    |    33    |    22    |  0.6  |  78847  | 12271.38 => 3952.97
   r1_2_9    |    38    |    27    |  1.2  |  15037  | 11180.43 => 5434.22
   r1_2_10   |    25    |    21    |  0.6  |  20239  | 9757.27 => 4509.36
   r2_2_1    |     9    |     9    |  1.6  |  9381  | 10361.9 => 5149.46
   r2_2_2    |     8    |     8    |  1.5  |  26920  | 10417.87 => 4514.72
   r2_2_3    |     9    |     8    |  1.7  |  59762  | 11335.4 => 3959.76
   r2_2_4    |    10    |     9    |  2.3  |  107181  | 12604.69 => 2923.97
   r2_2_5    |     8    |     8    |  1.7  |  18451  | 11089.83 => 4536.95
   r2_2_6    |     9    |     8    |  1.8  |  74584  | 11325.36 => 4086.32
   r2_2_7    |    10    |     7    |  1.5  |  113753  | 11334.37 => 3456.6
   r2_2_8    |    11    |     9    |  2.6  |  228660  | 11820.83 => 2964.82
   r2_2_9    |     8    |     8    |  1.7  |  42290  | 10459.44 => 4138.94
   r2_2_10   |    10    |    9    |  2.3  |  63694  | 11851.1 => 3892.9

Real algorithm runtime = 6.0h 46.0m 26.96s
