Initial temperature = 500.0
Initial alpha = 0.99
c1_2_1 1000.0/0.99 gap = 6.092282691888175
c1_2_1 1000.0/0.99 gap = 6.21712508827651
c1_2_1 1000.0/0.99 gap = 6.490887645725565
c1_2_1 1000.0/0.99 gap = 6.644347900035864
c1_2_1 1000.0/0.99 gap = 5.967972727642477
c1_2_5 1000.0/0.99 gap = 5.600011472770677
c1_2_5 1000.0/0.99 gap = 4.70579837530764
c1_2_5 1000.0/0.99 gap = 4.280891545308194
c1_2_5 1000.0/0.99 gap = 5.2344490294406105
c1_2_5 1000.0/0.99 gap = 4.917884939212823
c1_2_9 1000.0/0.99 gap = 3.633855811813496
c1_2_9 1000.0/0.99 gap = 3.334605735233749
c1_2_9 1000.0/0.99 gap = 2.981452406670891
c1_2_9 1000.0/0.99 gap = 3.632365968912549
c1_2_9 1000.0/0.99 gap = 3.4646629437129577
c2_2_1 1000.0/0.99 gap = 6.4601471786163
c2_2_1 1000.0/0.99 gap = 5.72050732441425
c2_2_1 1000.0/0.99 gap = 6.286993124301043
c2_2_1 1000.0/0.99 gap = 6.063075563655441
c2_2_1 1000.0/0.99 gap = 5.9418430462936085
c2_2_5 1000.0/0.99 gap = 6.094672272932913
c2_2_5 1000.0/0.99 gap = 6.7091438912100445
c2_2_5 1000.0/0.99 gap = 7.007624344678926
c2_2_5 1000.0/0.99 gap = 6.827673843042284
c2_2_5 1000.0/0.99 gap = 6.409626455899442
c2_2_9 1000.0/0.99 gap = 4.486593262479165
c2_2_9 1000.0/0.99 gap = 4.576864020108742
c2_2_9 1000.0/0.99 gap = 4.762301576459661
c2_2_9 1000.0/0.99 gap = 4.675615420343707
c2_2_9 1000.0/0.99 gap = 3.874169193920019
r1_2_1 1000.0/0.99 gap = 1.5833411021067685
r1_2_1 1000.0/0.99 gap = 1.807519057881197
r1_2_1 1000.0/0.99 gap = 1.9753463026560856
r1_2_1 1000.0/0.99 gap = 1.678833680663699
r1_2_1 1000.0/0.99 gap = 1.8732626340113432
r1_2_5 1000.0/0.99 gap = 1.6175091437174376
r1_2_5 1000.0/0.99 gap = 1.8305577600015592
r1_2_5 1000.0/0.99 gap = 1.9936414580827972
r1_2_5 1000.0/0.99 gap = 1.5674459045180058
r1_2_5 1000.0/0.99 gap = 2.0912078037929454
r1_2_9 1000.0/0.99 gap = 2.4560768108465547
r1_2_9 1000.0/0.99 gap = 2.3441915874678947
